视频名称,发布位置,分区名称,播放数量
《北极熊都能看懂的绝区零开服养成秘籍》,安徽,手机游戏,772774
“那天我走向你，像逆行的企鹅走向雪山”,美国,日常,575752
今天肝老板,上海,搞笑,555271
一段动漫打戏，竟然全是中国功夫的杀人技！纯享版,内蒙古,影视杂谈,1956404
《马达加斯加》第4集：荒岛赶海收获罕见犁头鳐和皇帝星斑，就连巨型蜘蛛螺也遍地都是！,河南,出行,2412110
"大庆赶海,退潮后遇见一只切成方块的大海蜇，还有一片沙马蟹",江苏,田园美食,6158068
哈哈哈哈蒙眼打人,山东,搞笑,3010093
用AI续写新闻联播片头曲，没想到燃成这样,安徽,搞笑,934634
巴黎奥运会不到一个月，没开玩笑，留给法国的时间不多了,上海,运动综合,1384608
沉浸式开砚,广西,人文历史,1329435
探秘法国总统一日三餐！都吃些什么？竟然这么豪华！,法国,美食侦探,2634018
《关于同事打一份工赚两份钱这件事》,山东,小剧场,1398792
上岸牛剑哈佛，绝不否认家境，但也不要忽略努力。,浙江,日常,1517474
糟糕 好甜,浙江,颜值·网红舞,751992
来了，全球第一的甜品！,上海,美食制作,905222
一块很特别的西瓜,美国,美食侦探,1702901
《你的马名》,安徽,鬼畜剧场,813825
“Cheems，现在是幻想时间吗？”,广东,搞笑,569267
东莞卤蹄侠炒泡面，18一份。堪称街头天花板,湖南,美食侦探,1181972
我 被 汽 车 炸 弹 袭 击 了！！【C4快乐阴人流#54】,四川,网络游戏,528397
同学聚会时的尴尬（超级无敌宇宙真实啊啊啊啊啊）,广东,搞笑,2239849
买了100个老鼠夹放家里，这回看看老鼠往哪跑,河北,小剧场,3283127
模仿电影搞犯罪，脑子里的水少一点都干不出这蠢事啊！,吉林,影视杂谈,824279
明 知 有 舞，为 何 不 避？,四川,影视剪辑,1507779
